city,area_type,time_slot,traffic_level,avg_delay_minutes,risk_weight
Delhi,OLD_CITY,MORNING,HIGH,32,0.66
Mumbai,URBAN,AFTERNOON,LOW,33,0.19
Hyderabad,OLD_CITY,EVENING,HIGH,19,0.86
Kolkata,URBAN,EVENING,LOW,8,0.23
Chennai,OLD_CITY,AFTERNOON,LOW,23,0.16
Pune,OLD_CITY,EVENING,MEDIUM,74,0.2
Delhi,OLD_CITY,AFTERNOON,HIGH,44,0.98
Delhi,OLD_CITY,EVENING,MEDIUM,32,0.54
Delhi,URBAN,AFTERNOON,MEDIUM,39,0.88
Pune,OLD_CITY,AFTERNOON,MEDIUM,54,0.28
Delhi,OLD_CITY,AFTERNOON,LOW,69,0.8
Mumbai,OLD_CITY,EVENING,MEDIUM,77,0.44
Hyderabad,URBAN,AFTERNOON,LOW,77,0.16
Hyderabad,OLD_CITY,EVENING,HIGH,14,0.96
Chennai,OLD_CITY,EVENING,MEDIUM,21,0.19
Kolkata,URBAN,AFTERNOON,HIGH,53,0.92
Chennai,OLD_CITY,EVENING,MEDIUM,20,0.32
Hyderabad,OLD_CITY,MORNING,HIGH,13,0.97
Kolkata,URBAN,EVENING,LOW,18,0.99
Bengaluru,OLD_CITY,AFTERNOON,HIGH,11,0.71
Kolkata,OLD_CITY,MORNING,HIGH,49,0.15
Kolkata,URBAN,AFTERNOON,HIGH,74,0.16
Pune,OLD_CITY,MORNING,MEDIUM,85,0.21
Pune,URBAN,MORNING,MEDIUM,79,0.64
Chennai,OLD_CITY,EVENING,MEDIUM,76,0.73
Kolkata,OLD_CITY,MORNING,MEDIUM,24,0.4
Hyderabad,OLD_CITY,MORNING,HIGH,29,0.58
Pune,OLD_CITY,AFTERNOON,LOW,49,0.55
Chennai,URBAN,EVENING,LOW,77,0.48
Pune,OLD_CITY,AFTERNOON,HIGH,32,0.61
Mumbai,URBAN,EVENING,HIGH,46,0.96
Mumbai,OLD_CITY,EVENING,LOW,9,0.53
Bengaluru,OLD_CITY,MORNING,MEDIUM,44,0.7
Chennai,OLD_CITY,AFTERNOON,HIGH,33,0.44
Bengaluru,OLD_CITY,EVENING,HIGH,19,0.32
Delhi,URBAN,AFTERNOON,HIGH,70,0.39
Mumbai,URBAN,MORNING,LOW,89,0.12
Chennai,URBAN,AFTERNOON,LOW,51,0.73
Mumbai,URBAN,AFTERNOON,MEDIUM,0,0.47
Delhi,OLD_CITY,MORNING,LOW,83,0.44
Delhi,OLD_CITY,AFTERNOON,LOW,44,0.12
Bengaluru,OLD_CITY,AFTERNOON,HIGH,25,0.21
Pune,URBAN,AFTERNOON,MEDIUM,38,0.57
Bengaluru,OLD_CITY,MORNING,LOW,68,0.89
Kolkata,URBAN,EVENING,HIGH,62,0.41
Mumbai,URBAN,MORNING,HIGH,49,0.86
Mumbai,OLD_CITY,EVENING,HIGH,18,0.44
Mumbai,URBAN,EVENING,MEDIUM,6,0.57
Mumbai,URBAN,EVENING,LOW,35,0.59
Delhi,OLD_CITY,AFTERNOON,LOW,19,0.63
Hyderabad,URBAN,AFTERNOON,MEDIUM,18,0.22
Pune,URBAN,AFTERNOON,LOW,74,0.65
Pune,OLD_CITY,MORNING,MEDIUM,53,0.52
Hyderabad,URBAN,AFTERNOON,MEDIUM,17,0.99
Chennai,OLD_CITY,AFTERNOON,MEDIUM,17,0.96
Mumbai,OLD_CITY,EVENING,MEDIUM,8,0.28
Hyderabad,OLD_CITY,MORNING,MEDIUM,3,0.74
Hyderabad,OLD_CITY,MORNING,HIGH,85,0.83
Kolkata,OLD_CITY,EVENING,LOW,11,0.84
Mumbai,URBAN,MORNING,MEDIUM,84,0.36
Hyderabad,URBAN,EVENING,LOW,4,0.15
Hyderabad,OLD_CITY,AFTERNOON,HIGH,0,0.17
Hyderabad,OLD_CITY,MORNING,HIGH,17,0.56
Pune,URBAN,AFTERNOON,HIGH,28,0.77
Mumbai,OLD_CITY,MORNING,LOW,24,0.87
Pune,URBAN,MORNING,HIGH,38,0.32
Bengaluru,OLD_CITY,MORNING,LOW,62,0.33
Bengaluru,OLD_CITY,MORNING,LOW,71,0.44
Bengaluru,URBAN,MORNING,HIGH,47,0.95
Mumbai,OLD_CITY,AFTERNOON,LOW,43,0.7
Mumbai,URBAN,MORNING,LOW,75,0.34
Kolkata,OLD_CITY,AFTERNOON,LOW,54,0.46
Delhi,URBAN,AFTERNOON,MEDIUM,12,0.95
Chennai,URBAN,EVENING,HIGH,71,0.41
Mumbai,URBAN,AFTERNOON,LOW,43,0.93
Chennai,URBAN,AFTERNOON,HIGH,75,0.97
Mumbai,OLD_CITY,EVENING,MEDIUM,12,0.82
Mumbai,URBAN,EVENING,MEDIUM,7,0.65
Kolkata,OLD_CITY,AFTERNOON,LOW,74,0.67
Chennai,URBAN,EVENING,LOW,1,0.45
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,1,0.46
Pune,URBAN,EVENING,MEDIUM,75,0.23
Pune,OLD_CITY,MORNING,MEDIUM,70,0.55
Chennai,URBAN,AFTERNOON,HIGH,82,0.54
Pune,OLD_CITY,EVENING,HIGH,67,0.63
Kolkata,URBAN,MORNING,HIGH,53,0.65
Kolkata,OLD_CITY,MORNING,HIGH,20,0.2
Hyderabad,URBAN,EVENING,HIGH,76,0.16
Pune,URBAN,MORNING,HIGH,68,0.36
Chennai,URBAN,EVENING,MEDIUM,7,0.89
Kolkata,URBAN,AFTERNOON,MEDIUM,79,0.25
Chennai,OLD_CITY,MORNING,LOW,82,0.41
Bengaluru,URBAN,AFTERNOON,HIGH,79,0.14
Kolkata,OLD_CITY,EVENING,MEDIUM,86,0.73
Pune,URBAN,AFTERNOON,LOW,20,0.48
Bengaluru,OLD_CITY,EVENING,HIGH,57,0.69
Chennai,URBAN,AFTERNOON,MEDIUM,28,0.57
Chennai,OLD_CITY,MORNING,LOW,56,0.81
Hyderabad,URBAN,EVENING,LOW,7,0.39
Bengaluru,OLD_CITY,EVENING,MEDIUM,69,0.26
Bengaluru,OLD_CITY,EVENING,LOW,62,0.41
Kolkata,OLD_CITY,EVENING,MEDIUM,59,0.29
Bengaluru,URBAN,AFTERNOON,LOW,16,0.69
Kolkata,URBAN,EVENING,MEDIUM,29,0.41
Delhi,OLD_CITY,MORNING,LOW,27,0.93
Bengaluru,URBAN,AFTERNOON,MEDIUM,16,0.42
Hyderabad,URBAN,AFTERNOON,HIGH,79,0.5
Hyderabad,URBAN,MORNING,MEDIUM,47,0.83
Mumbai,URBAN,EVENING,MEDIUM,10,0.53
Kolkata,URBAN,AFTERNOON,MEDIUM,85,0.38
Delhi,URBAN,MORNING,MEDIUM,76,0.56
Mumbai,URBAN,EVENING,LOW,62,0.16
Pune,OLD_CITY,MORNING,HIGH,79,0.63
Kolkata,URBAN,MORNING,LOW,88,0.27
Pune,OLD_CITY,AFTERNOON,LOW,66,0.39
Bengaluru,OLD_CITY,EVENING,HIGH,40,0.7
Kolkata,URBAN,AFTERNOON,HIGH,15,0.24
Delhi,URBAN,MORNING,MEDIUM,11,0.46
Mumbai,URBAN,EVENING,LOW,77,0.71
Kolkata,OLD_CITY,AFTERNOON,LOW,79,0.87
Pune,OLD_CITY,MORNING,LOW,10,0.9
Delhi,URBAN,AFTERNOON,HIGH,69,0.79
Kolkata,URBAN,EVENING,MEDIUM,6,0.42
Chennai,OLD_CITY,EVENING,MEDIUM,9,0.22
Delhi,OLD_CITY,EVENING,LOW,13,0.29
Kolkata,OLD_CITY,EVENING,HIGH,54,0.67
Chennai,OLD_CITY,MORNING,HIGH,1,0.28
Mumbai,URBAN,EVENING,MEDIUM,40,0.81
Hyderabad,OLD_CITY,EVENING,LOW,56,0.77
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,10,0.51
Bengaluru,URBAN,MORNING,MEDIUM,62,0.21
Bengaluru,URBAN,AFTERNOON,HIGH,69,0.55
Delhi,URBAN,EVENING,LOW,39,0.27
Hyderabad,OLD_CITY,EVENING,HIGH,5,0.31
Pune,URBAN,EVENING,LOW,68,0.86
Chennai,OLD_CITY,MORNING,LOW,6,0.22
Delhi,OLD_CITY,AFTERNOON,LOW,49,0.98
Chennai,URBAN,MORNING,HIGH,24,0.4
Chennai,URBAN,AFTERNOON,HIGH,31,0.68
Bengaluru,URBAN,EVENING,LOW,49,0.63
Pune,URBAN,EVENING,MEDIUM,65,0.75
Bengaluru,URBAN,AFTERNOON,LOW,62,0.67
Hyderabad,URBAN,EVENING,LOW,47,0.28
Delhi,URBAN,AFTERNOON,MEDIUM,15,0.47
Hyderabad,URBAN,AFTERNOON,LOW,53,0.46
Delhi,OLD_CITY,AFTERNOON,LOW,38,0.81
Delhi,OLD_CITY,EVENING,LOW,70,0.91
Delhi,OLD_CITY,EVENING,LOW,27,0.37
Chennai,OLD_CITY,EVENING,MEDIUM,48,0.52
Delhi,URBAN,MORNING,LOW,44,0.11
Mumbai,OLD_CITY,EVENING,HIGH,42,0.64
Pune,OLD_CITY,AFTERNOON,HIGH,67,0.5
Pune,OLD_CITY,MORNING,HIGH,59,0.26
Pune,OLD_CITY,EVENING,LOW,50,0.3
Bengaluru,URBAN,AFTERNOON,HIGH,10,0.35
Chennai,OLD_CITY,EVENING,MEDIUM,66,0.74
Pune,URBAN,EVENING,MEDIUM,78,0.58
Pune,OLD_CITY,MORNING,HIGH,33,0.75
Hyderabad,URBAN,MORNING,MEDIUM,29,0.72
Delhi,OLD_CITY,MORNING,HIGH,30,0.6
Bengaluru,URBAN,MORNING,LOW,65,0.83
Bengaluru,OLD_CITY,AFTERNOON,HIGH,24,0.92
Bengaluru,URBAN,AFTERNOON,MEDIUM,12,0.95
Pune,OLD_CITY,AFTERNOON,MEDIUM,12,0.8
Pune,OLD_CITY,MORNING,MEDIUM,41,0.57
Chennai,URBAN,MORNING,MEDIUM,26,0.9
Bengaluru,OLD_CITY,MORNING,LOW,80,0.95
Delhi,URBAN,AFTERNOON,HIGH,5,0.49
Hyderabad,URBAN,MORNING,LOW,19,0.46
Chennai,OLD_CITY,EVENING,LOW,31,0.19
Hyderabad,OLD_CITY,EVENING,HIGH,16,0.16
Delhi,URBAN,EVENING,HIGH,54,0.64
Delhi,OLD_CITY,AFTERNOON,HIGH,87,0.42
Delhi,OLD_CITY,MORNING,MEDIUM,74,0.61
Hyderabad,OLD_CITY,EVENING,MEDIUM,3,0.18
Pune,URBAN,AFTERNOON,HIGH,19,0.36
Mumbai,OLD_CITY,EVENING,LOW,26,0.81
Pune,OLD_CITY,EVENING,HIGH,40,0.28
Delhi,OLD_CITY,AFTERNOON,MEDIUM,47,0.38
Mumbai,OLD_CITY,MORNING,MEDIUM,23,0.58
Delhi,OLD_CITY,AFTERNOON,LOW,59,0.26
Pune,OLD_CITY,AFTERNOON,HIGH,13,0.96
Bengaluru,URBAN,AFTERNOON,MEDIUM,49,0.75
Kolkata,OLD_CITY,EVENING,MEDIUM,9,0.27
Hyderabad,URBAN,EVENING,HIGH,11,0.23
Delhi,URBAN,EVENING,LOW,32,0.2
Chennai,URBAN,AFTERNOON,HIGH,8,0.28
Pune,OLD_CITY,MORNING,LOW,77,0.4
Delhi,URBAN,EVENING,MEDIUM,35,0.77
Mumbai,OLD_CITY,AFTERNOON,MEDIUM,81,0.17
Chennai,URBAN,AFTERNOON,MEDIUM,65,0.76
Bengaluru,URBAN,MORNING,LOW,51,0.49
Delhi,OLD_CITY,MORNING,MEDIUM,40,0.33
Hyderabad,OLD_CITY,EVENING,MEDIUM,38,0.93
Chennai,OLD_CITY,MORNING,MEDIUM,89,0.48
Mumbai,URBAN,MORNING,MEDIUM,42,0.31
Chennai,OLD_CITY,MORNING,MEDIUM,32,0.73
Hyderabad,URBAN,EVENING,MEDIUM,72,0.13
Bengaluru,OLD_CITY,AFTERNOON,HIGH,67,0.29
Bengaluru,URBAN,AFTERNOON,HIGH,86,0.98
Mumbai,URBAN,EVENING,MEDIUM,45,0.52
Delhi,URBAN,MORNING,MEDIUM,73,0.79
Delhi,URBAN,EVENING,HIGH,36,0.65
Pune,URBAN,EVENING,MEDIUM,65,0.2
Delhi,URBAN,AFTERNOON,LOW,13,0.35
Bengaluru,URBAN,EVENING,HIGH,50,0.86
Pune,OLD_CITY,AFTERNOON,LOW,3,0.93
Hyderabad,URBAN,EVENING,MEDIUM,89,0.39
Chennai,URBAN,MORNING,LOW,7,0.3
Mumbai,URBAN,EVENING,MEDIUM,73,0.52
Hyderabad,OLD_CITY,AFTERNOON,LOW,8,0.75
Chennai,URBAN,AFTERNOON,MEDIUM,5,0.68
Pune,URBAN,EVENING,MEDIUM,41,0.75
Hyderabad,OLD_CITY,EVENING,LOW,20,0.49
Bengaluru,URBAN,AFTERNOON,MEDIUM,86,0.19
Pune,URBAN,EVENING,HIGH,48,0.61
Kolkata,URBAN,EVENING,HIGH,67,0.99
Delhi,OLD_CITY,EVENING,HIGH,62,0.81
Delhi,OLD_CITY,AFTERNOON,MEDIUM,82,0.93
Bengaluru,OLD_CITY,MORNING,HIGH,72,0.28
Kolkata,URBAN,MORNING,MEDIUM,52,0.11
Mumbai,URBAN,AFTERNOON,MEDIUM,8,0.52
Delhi,URBAN,AFTERNOON,MEDIUM,83,0.79
Kolkata,URBAN,AFTERNOON,MEDIUM,42,0.84
Kolkata,OLD_CITY,MORNING,MEDIUM,43,0.58
Mumbai,URBAN,AFTERNOON,LOW,18,0.26
Hyderabad,OLD_CITY,AFTERNOON,LOW,34,0.44
Kolkata,URBAN,AFTERNOON,HIGH,84,0.39
Mumbai,URBAN,EVENING,HIGH,12,0.47
Pune,URBAN,EVENING,MEDIUM,72,0.67
Hyderabad,URBAN,EVENING,HIGH,55,0.27
Kolkata,URBAN,AFTERNOON,LOW,55,0.26
Mumbai,OLD_CITY,AFTERNOON,HIGH,0,0.45
Chennai,URBAN,EVENING,MEDIUM,41,0.36
Hyderabad,OLD_CITY,EVENING,HIGH,76,0.54
Bengaluru,OLD_CITY,EVENING,HIGH,60,0.51
Kolkata,OLD_CITY,MORNING,LOW,60,0.6
Hyderabad,URBAN,MORNING,HIGH,86,0.73
Pune,URBAN,AFTERNOON,MEDIUM,2,0.66
Mumbai,OLD_CITY,MORNING,MEDIUM,84,0.25
Pune,URBAN,MORNING,MEDIUM,22,0.83
Mumbai,URBAN,EVENING,HIGH,51,0.59
Pune,URBAN,EVENING,LOW,30,0.42
Delhi,OLD_CITY,EVENING,LOW,67,0.69
Bengaluru,OLD_CITY,EVENING,LOW,15,0.45
Pune,OLD_CITY,AFTERNOON,HIGH,44,0.68
Hyderabad,OLD_CITY,AFTERNOON,HIGH,51,0.92
Kolkata,URBAN,EVENING,LOW,50,0.78
Mumbai,URBAN,MORNING,LOW,68,0.62
Hyderabad,OLD_CITY,MORNING,LOW,47,0.58
Pune,URBAN,EVENING,LOW,47,0.54
Hyderabad,OLD_CITY,MORNING,MEDIUM,14,0.7
Bengaluru,URBAN,EVENING,MEDIUM,18,0.66
Bengaluru,URBAN,EVENING,HIGH,55,0.41
Delhi,URBAN,MORNING,MEDIUM,17,0.68
Kolkata,OLD_CITY,AFTERNOON,LOW,75,0.55
Hyderabad,URBAN,AFTERNOON,LOW,51,1.0
Bengaluru,URBAN,EVENING,HIGH,12,0.77
Chennai,URBAN,MORNING,HIGH,14,0.52
Mumbai,OLD_CITY,EVENING,MEDIUM,47,0.49
Chennai,OLD_CITY,EVENING,LOW,18,0.78
Hyderabad,OLD_CITY,MORNING,MEDIUM,19,1.0
Bengaluru,OLD_CITY,AFTERNOON,HIGH,88,0.56
Pune,URBAN,AFTERNOON,HIGH,29,0.28
Hyderabad,OLD_CITY,AFTERNOON,MEDIUM,53,0.2
Delhi,URBAN,EVENING,LOW,84,0.84
Bengaluru,OLD_CITY,MORNING,MEDIUM,45,0.24
Chennai,URBAN,AFTERNOON,MEDIUM,18,0.65
Chennai,OLD_CITY,AFTERNOON,LOW,38,0.11
Hyderabad,URBAN,MORNING,HIGH,16,0.31
Mumbai,OLD_CITY,MORNING,LOW,10,0.79
Chennai,URBAN,AFTERNOON,LOW,56,0.29
Kolkata,URBAN,MORNING,MEDIUM,69,0.82
Delhi,URBAN,MORNING,MEDIUM,78,0.39
Kolkata,OLD_CITY,AFTERNOON,HIGH,87,0.93
Hyderabad,URBAN,EVENING,MEDIUM,53,0.13
Bengaluru,URBAN,MORNING,LOW,61,0.47
Mumbai,OLD_CITY,AFTERNOON,HIGH,57,0.95
Kolkata,OLD_CITY,EVENING,HIGH,35,0.79
Hyderabad,OLD_CITY,MORNING,LOW,78,0.76
Bengaluru,URBAN,EVENING,HIGH,43,0.42
Bengaluru,URBAN,EVENING,LOW,62,0.25
Chennai,URBAN,EVENING,LOW,0,0.61
Bengaluru,OLD_CITY,AFTERNOON,HIGH,7,0.34
Hyderabad,OLD_CITY,EVENING,LOW,67,0.69
Hyderabad,OLD_CITY,EVENING,HIGH,80,0.15
Delhi,URBAN,EVENING,HIGH,48,0.81
Chennai,URBAN,EVENING,HIGH,42,0.72
Delhi,OLD_CITY,EVENING,HIGH,66,0.32
Pune,OLD_CITY,MORNING,LOW,3,0.62
Chennai,URBAN,EVENING,MEDIUM,53,0.8
Mumbai,URBAN,EVENING,MEDIUM,17,0.65
Chennai,OLD_CITY,AFTERNOON,HIGH,74,0.5
Bengaluru,URBAN,MORNING,MEDIUM,29,0.12
Pune,OLD_CITY,MORNING,HIGH,56,0.59
Kolkata,OLD_CITY,MORNING,MEDIUM,50,0.18
Pune,OLD_CITY,AFTERNOON,HIGH,80,0.5
Hyderabad,URBAN,EVENING,HIGH,56,0.63
Bengaluru,URBAN,EVENING,MEDIUM,59,0.31
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,53,0.67
Delhi,OLD_CITY,EVENING,MEDIUM,1,0.62
Delhi,URBAN,AFTERNOON,HIGH,83,0.72
Hyderabad,URBAN,EVENING,LOW,14,0.78
Pune,OLD_CITY,MORNING,LOW,38,0.27
Bengaluru,URBAN,AFTERNOON,LOW,30,0.26
Chennai,OLD_CITY,MORNING,HIGH,82,0.42
Chennai,OLD_CITY,AFTERNOON,HIGH,24,0.22
Kolkata,OLD_CITY,EVENING,LOW,79,0.41
Hyderabad,URBAN,AFTERNOON,MEDIUM,26,0.32
Bengaluru,URBAN,EVENING,LOW,78,0.67
Chennai,OLD_CITY,AFTERNOON,MEDIUM,5,0.51
Mumbai,URBAN,EVENING,HIGH,25,0.84
Bengaluru,OLD_CITY,EVENING,LOW,36,0.13
Kolkata,OLD_CITY,MORNING,MEDIUM,53,0.89
Hyderabad,URBAN,MORNING,HIGH,3,0.3
Mumbai,URBAN,AFTERNOON,LOW,18,0.83
Bengaluru,OLD_CITY,EVENING,LOW,0,0.47
Delhi,OLD_CITY,AFTERNOON,LOW,1,0.12
Chennai,URBAN,MORNING,LOW,35,0.67
Delhi,URBAN,MORNING,LOW,61,0.75
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,9,0.3
Bengaluru,URBAN,MORNING,MEDIUM,66,0.5
Chennai,OLD_CITY,EVENING,MEDIUM,18,0.88
Mumbai,URBAN,AFTERNOON,LOW,50,0.65
Mumbai,OLD_CITY,EVENING,HIGH,14,0.15
Pune,URBAN,EVENING,LOW,45,0.84
Hyderabad,OLD_CITY,AFTERNOON,HIGH,52,0.78
Chennai,URBAN,EVENING,LOW,68,0.5
Hyderabad,URBAN,AFTERNOON,LOW,58,0.65
Mumbai,URBAN,MORNING,MEDIUM,60,0.73
Mumbai,OLD_CITY,MORNING,LOW,60,0.15
Pune,URBAN,MORNING,MEDIUM,9,0.96
Chennai,URBAN,MORNING,MEDIUM,58,0.15
Delhi,URBAN,MORNING,MEDIUM,33,0.49
Chennai,URBAN,EVENING,MEDIUM,56,0.64
Kolkata,URBAN,EVENING,MEDIUM,68,0.22
Hyderabad,OLD_CITY,AFTERNOON,LOW,4,0.18
Pune,URBAN,MORNING,MEDIUM,45,0.77
Mumbai,URBAN,EVENING,MEDIUM,3,0.16
Mumbai,URBAN,EVENING,HIGH,2,0.77
Chennai,OLD_CITY,AFTERNOON,MEDIUM,28,0.91
Mumbai,URBAN,EVENING,MEDIUM,32,0.62
Hyderabad,URBAN,AFTERNOON,HIGH,67,0.58
Chennai,OLD_CITY,EVENING,MEDIUM,62,0.95
Pune,OLD_CITY,MORNING,MEDIUM,10,0.34
Bengaluru,OLD_CITY,EVENING,HIGH,68,0.6
Hyderabad,URBAN,AFTERNOON,MEDIUM,7,0.24
Mumbai,OLD_CITY,MORNING,HIGH,50,0.37
Hyderabad,URBAN,MORNING,MEDIUM,4,0.7
Kolkata,OLD_CITY,MORNING,MEDIUM,16,0.71
Bengaluru,URBAN,MORNING,HIGH,22,0.98
Chennai,OLD_CITY,MORNING,HIGH,43,0.23
Chennai,URBAN,MORNING,MEDIUM,33,0.89
Mumbai,OLD_CITY,EVENING,MEDIUM,9,0.31
Kolkata,URBAN,MORNING,HIGH,72,0.48
Delhi,OLD_CITY,MORNING,HIGH,12,0.81
Mumbai,OLD_CITY,AFTERNOON,LOW,23,0.82
Chennai,OLD_CITY,EVENING,HIGH,71,0.67
Delhi,URBAN,EVENING,MEDIUM,72,0.34
Pune,OLD_CITY,MORNING,MEDIUM,72,0.21
Mumbai,OLD_CITY,MORNING,HIGH,7,0.11
Bengaluru,URBAN,EVENING,MEDIUM,78,0.91
Hyderabad,OLD_CITY,EVENING,MEDIUM,89,0.13
Mumbai,OLD_CITY,MORNING,MEDIUM,61,0.65
Chennai,OLD_CITY,EVENING,MEDIUM,51,0.84
Bengaluru,OLD_CITY,EVENING,HIGH,79,0.11
Chennai,OLD_CITY,EVENING,LOW,9,0.33
Pune,URBAN,MORNING,LOW,34,0.67
Chennai,URBAN,EVENING,MEDIUM,73,0.85
Chennai,OLD_CITY,EVENING,HIGH,11,0.73
Delhi,OLD_CITY,EVENING,MEDIUM,46,0.63
Mumbai,OLD_CITY,AFTERNOON,HIGH,81,0.4
Pune,OLD_CITY,MORNING,MEDIUM,26,0.25
Pune,URBAN,EVENING,LOW,76,0.67
Bengaluru,OLD_CITY,MORNING,MEDIUM,69,0.59
Hyderabad,OLD_CITY,AFTERNOON,MEDIUM,39,0.82
Bengaluru,URBAN,MORNING,MEDIUM,76,0.41
Pune,URBAN,EVENING,LOW,11,0.18
Chennai,URBAN,AFTERNOON,MEDIUM,1,0.54
Mumbai,OLD_CITY,MORNING,LOW,21,0.4
Mumbai,OLD_CITY,MORNING,LOW,30,0.3
Bengaluru,URBAN,AFTERNOON,HIGH,85,0.52
Delhi,OLD_CITY,AFTERNOON,HIGH,21,0.23
Hyderabad,URBAN,MORNING,MEDIUM,2,0.77
Mumbai,OLD_CITY,EVENING,MEDIUM,73,0.81
Hyderabad,OLD_CITY,EVENING,HIGH,13,0.12
Bengaluru,URBAN,EVENING,MEDIUM,41,0.57
Delhi,OLD_CITY,MORNING,LOW,44,0.66
Bengaluru,URBAN,EVENING,LOW,7,0.39
Delhi,OLD_CITY,MORNING,HIGH,76,0.67
Bengaluru,OLD_CITY,MORNING,HIGH,43,0.14
Chennai,OLD_CITY,AFTERNOON,MEDIUM,20,0.8
Pune,OLD_CITY,MORNING,MEDIUM,47,0.85
Delhi,URBAN,AFTERNOON,HIGH,87,0.82
Delhi,URBAN,MORNING,MEDIUM,28,0.93
Pune,URBAN,AFTERNOON,MEDIUM,12,0.86
Mumbai,URBAN,AFTERNOON,MEDIUM,21,0.96
Bengaluru,URBAN,EVENING,LOW,72,0.12
Bengaluru,OLD_CITY,MORNING,MEDIUM,70,0.7
Delhi,URBAN,MORNING,MEDIUM,0,0.3
Bengaluru,OLD_CITY,AFTERNOON,HIGH,52,0.69
Chennai,URBAN,EVENING,MEDIUM,87,0.57
Chennai,URBAN,EVENING,LOW,36,0.22
Bengaluru,URBAN,EVENING,LOW,48,0.4
Bengaluru,URBAN,MORNING,HIGH,73,0.73
Bengaluru,URBAN,EVENING,MEDIUM,23,0.13
Chennai,URBAN,MORNING,LOW,59,0.86
Mumbai,OLD_CITY,EVENING,LOW,51,0.35
Delhi,OLD_CITY,MORNING,MEDIUM,28,0.34
Hyderabad,OLD_CITY,AFTERNOON,HIGH,5,0.28
Pune,OLD_CITY,EVENING,LOW,12,0.12
Delhi,OLD_CITY,AFTERNOON,MEDIUM,45,0.62
Chennai,URBAN,EVENING,HIGH,50,0.45
Bengaluru,URBAN,EVENING,MEDIUM,87,0.22
Bengaluru,URBAN,MORNING,LOW,69,0.71
Chennai,URBAN,AFTERNOON,HIGH,35,0.1
Kolkata,URBAN,AFTERNOON,HIGH,63,0.74
Bengaluru,URBAN,EVENING,MEDIUM,59,0.19
Mumbai,OLD_CITY,EVENING,MEDIUM,14,0.27
Delhi,OLD_CITY,MORNING,MEDIUM,24,0.38
Hyderabad,URBAN,MORNING,HIGH,41,0.88
Hyderabad,URBAN,EVENING,HIGH,54,0.41
Pune,OLD_CITY,MORNING,MEDIUM,28,0.11
Chennai,URBAN,EVENING,LOW,24,0.76
Pune,OLD_CITY,MORNING,LOW,68,0.53
Bengaluru,OLD_CITY,EVENING,LOW,45,0.82
Hyderabad,URBAN,AFTERNOON,LOW,63,0.62
Bengaluru,OLD_CITY,AFTERNOON,MEDIUM,67,0.26
Pune,URBAN,EVENING,MEDIUM,47,0.57
Chennai,URBAN,MORNING,HIGH,50,0.12
Bengaluru,OLD_CITY,MORNING,MEDIUM,25,0.79
Mumbai,OLD_CITY,MORNING,HIGH,53,0.95
Chennai,OLD_CITY,AFTERNOON,MEDIUM,53,0.31
Chennai,URBAN,EVENING,LOW,60,0.58
Delhi,OLD_CITY,AFTERNOON,HIGH,54,0.71
Bengaluru,URBAN,AFTERNOON,MEDIUM,29,0.59
Kolkata,OLD_CITY,AFTERNOON,LOW,57,0.54
Pune,URBAN,AFTERNOON,LOW,49,0.78
Bengaluru,OLD_CITY,AFTERNOON,HIGH,64,0.69
Chennai,URBAN,MORNING,LOW,17,0.87
Kolkata,URBAN,AFTERNOON,HIGH,17,0.4
Pune,OLD_CITY,MORNING,MEDIUM,21,0.4
Mumbai,OLD_CITY,MORNING,HIGH,33,0.71
Mumbai,URBAN,AFTERNOON,LOW,30,0.23
Pune,OLD_CITY,AFTERNOON,MEDIUM,82,0.23
Delhi,URBAN,MORNING,LOW,83,0.49
Pune,URBAN,MORNING,MEDIUM,89,0.61
Delhi,OLD_CITY,AFTERNOON,HIGH,53,0.9
Pune,OLD_CITY,AFTERNOON,MEDIUM,15,0.15
Hyderabad,OLD_CITY,EVENING,LOW,34,0.51
Kolkata,OLD_CITY,EVENING,HIGH,60,0.36
Bengaluru,OLD_CITY,AFTERNOON,MEDIUM,50,0.42
Kolkata,OLD_CITY,AFTERNOON,MEDIUM,38,0.78
Bengaluru,URBAN,AFTERNOON,HIGH,51,0.58
Pune,URBAN,AFTERNOON,MEDIUM,80,0.7
Hyderabad,URBAN,AFTERNOON,HIGH,87,0.82
Delhi,URBAN,MORNING,HIGH,68,0.16
Chennai,OLD_CITY,MORNING,HIGH,21,0.82
Bengaluru,OLD_CITY,EVENING,LOW,52,0.8
Mumbai,OLD_CITY,EVENING,MEDIUM,68,0.24
Mumbai,OLD_CITY,MORNING,LOW,3,0.41
Chennai,OLD_CITY,EVENING,MEDIUM,24,0.26
Kolkata,OLD_CITY,MORNING,LOW,44,0.63
Bengaluru,URBAN,AFTERNOON,LOW,51,0.72
Delhi,OLD_CITY,EVENING,HIGH,42,0.54
Delhi,OLD_CITY,MORNING,LOW,18,0.38
Pune,URBAN,AFTERNOON,HIGH,21,0.34
Chennai,OLD_CITY,AFTERNOON,HIGH,21,0.56
Hyderabad,OLD_CITY,MORNING,LOW,7,0.61
Mumbai,OLD_CITY,AFTERNOON,LOW,18,0.32
