weather_event_id,city,rainfall_mm,weather_severity,weather_impact_factor
WTH004332,Delhi,6.33,Low,36
WTH004333,Delhi,1.08,Low,26
WTH004334,Ahmedabad,2.43,Low,17
WTH004335,Mumbai,4.27,Low,15
WTH004336,Hyderabad,3.32,Low,49
WTH004337,Chennai,2.98,High,68
WTH004338,Bangalore,7.72,Low,52
WTH004339,Mumbai,1.71,Low,59
WTH004340,Mumbai,3.93,Low,37
WTH004341,Pune,11.4,Medium,25
WTH004342,Ahmedabad,12.5,Low,47
WTH004343,Pune,1.87,Low,24
WTH004344,Bangalore,1.12,Low,32
WTH004345,Hyderabad,5.65,Low,45
WTH004346,Hyderabad,0.61,Low,28
WTH004347,Delhi,0.33,Low,46
WTH004348,Pune,10.42,Medium,29
WTH004349,Pune,0.13,Low,53
WTH004350,Delhi,1.37,Low,12
WTH004351,Kolkata,11.29,Low,54
WTH004352,Kolkata,2.7,Low,35
WTH004353,Kolkata,5.05,Low,47
WTH004354,Chennai,2.61,Low,14
WTH004355,Ahmedabad,1.76,Low,27
WTH004356,Delhi,0.89,Low,50
WTH004357,Ahmedabad,3.69,Low,51
WTH004358,Bangalore,0.91,Low,37
WTH004359,Pune,6.5,Medium,39
WTH004360,Delhi,3.55,Low,55
WTH004361,Hyderabad,3.4,Low,31
WTH004362,Hyderabad,12.62,Low,31
WTH004363,Hyderabad,0.69,Medium,50
WTH004364,Chennai,0.46,Medium,29
WTH004365,Mumbai,7.33,Medium,33
WTH004366,Pune,0.24,Low,29
WTH004367,Bangalore,1.61,Low,27
WTH004368,Delhi,1.96,Low,39
WTH004369,Hyderabad,0.57,Low,7
WTH004370,Chennai,1.42,Low,50
WTH004371,Chennai,3.56,Medium,33
WTH004372,Chennai,1.36,Low,31
WTH004373,Pune,5.84,Medium,32
WTH004374,Pune,1.81,Low,32
WTH004375,Hyderabad,8.82,High,60
WTH004376,Bangalore,0.05,Low,9
WTH004377,Ahmedabad,3.75,Medium,51
WTH004378,Hyderabad,0.54,Low,51
WTH004379,Hyderabad,5.31,Medium,57
WTH004380,Bangalore,0.87,Low,55
WTH004381,Mumbai,0.74,Low,31
WTH004382,Mumbai,1.48,Low,37
WTH004383,Ahmedabad,0.08,Medium,14
WTH004384,Hyderabad,0.26,Medium,6
WTH004385,Delhi,6.14,Low,35
WTH004386,Hyderabad,0.27,Medium,52
WTH004387,Kolkata,1.18,Low,26
WTH004388,Hyderabad,0.24,High,90
WTH004389,Hyderabad,1.91,Low,49
WTH004390,Hyderabad,0.64,Low,52
WTH004391,Pune,4.67,Low,21
WTH004392,Chennai,2.21,Low,42
WTH004393,Ahmedabad,0.01,High,74
WTH004394,Kolkata,6.74,Low,20
WTH004395,Mumbai,4.19,Low,58
WTH004396,Hyderabad,0.86,Low,40
WTH004397,Pune,3.57,High,85
WTH004398,Chennai,2.45,Low,19
WTH004399,Delhi,3.36,Low,35
WTH004400,Chennai,2.22,Low,14
WTH004401,Bangalore,0.35,Medium,46
WTH004402,Bangalore,2.25,Low,18
WTH004403,Kolkata,4.0,Low,45
WTH004404,Pune,1.0,Medium,32
WTH004405,Kolkata,7.52,Low,23
WTH004406,Hyderabad,0.29,Low,39
WTH004407,Kolkata,1.66,Low,7
WTH004408,Chennai,2.04,Low,36
WTH004409,Kolkata,11.46,Medium,28
WTH004410,Chennai,1.87,Medium,41
WTH004411,Kolkata,0.24,Medium,33
WTH004412,Hyderabad,4.21,Low,23
WTH004413,Pune,0.43,Low,21
WTH004414,Kolkata,0.94,Medium,6
WTH004415,Delhi,2.06,Low,59
WTH004416,Hyderabad,10.44,Medium,15
WTH004417,Hyderabad,10.03,Low,36
WTH004418,Bangalore,2.86,Medium,6
WTH004419,Kolkata,3.04,Low,24
WTH004420,Bangalore,2.03,Low,56
WTH004421,Chennai,7.49,Low,36
WTH004422,Pune,4.06,Low,39
WTH004423,Pune,0.42,Low,14
WTH004424,Delhi,0.44,Low,43
WTH004425,Ahmedabad,0.5,Low,43
WTH004426,Kolkata,1.09,Low,41
WTH004427,Chennai,0.4,Medium,49
WTH004428,Ahmedabad,5.58,Medium,34
WTH004429,Chennai,1.99,Low,43
WTH004430,Mumbai,2.38,Low,33
WTH004431,Delhi,1.87,Medium,12
WTH004432,Ahmedabad,3.99,Low,34
WTH004433,Kolkata,5.26,Low,56
WTH004434,Bangalore,0.32,Low,59
WTH004435,Delhi,4.9,Medium,44
WTH004436,Ahmedabad,0.21,Medium,54
WTH004437,Chennai,0.16,Low,51
WTH004438,Delhi,3.57,High,68
WTH004439,Kolkata,1.88,Low,48
WTH004440,Ahmedabad,0.01,High,72
WTH004441,Kolkata,1.22,High,94
WTH004442,Pune,3.14,Low,34
WTH004443,Hyderabad,0.93,Low,39
WTH004444,Chennai,5.8,Low,44
WTH004445,Kolkata,16.79,Low,52
WTH004446,Pune,2.81,Low,48
WTH004447,Hyderabad,4.5,Low,53
WTH004448,Ahmedabad,4.01,Medium,35
WTH004449,Delhi,4.05,Medium,11
WTH004450,Pune,6.12,Low,30
WTH004451,Mumbai,2.05,Low,19
WTH004452,Pune,5.65,Low,15
WTH004453,Pune,3.31,Low,27
WTH004454,Ahmedabad,2.1,Low,49
WTH004455,Hyderabad,7.09,Low,21
WTH004456,Hyderabad,3.76,Low,8
WTH004457,Pune,3.0,Medium,16
WTH004458,Pune,14.42,Low,50
WTH004459,Mumbai,3.93,Low,18
WTH004460,Hyderabad,1.86,Medium,28
WTH004461,Kolkata,4.14,Low,56
WTH004462,Kolkata,7.15,Low,21
WTH004463,Kolkata,0.24,Medium,35
WTH004464,Kolkata,0.61,Low,31
WTH004465,Mumbai,0.5,Medium,49
WTH004466,Delhi,0.5,Low,49
WTH004467,Bangalore,0.49,High,67
WTH004468,Kolkata,0.34,Low,55
WTH004469,Delhi,3.76,High,84
WTH004470,Chennai,2.99,Medium,44
WTH004471,Pune,6.38,Low,31
WTH004472,Chennai,1.22,Low,40
WTH004473,Hyderabad,4.55,Low,54
WTH004474,Chennai,2.42,Medium,6
WTH004475,Delhi,1.55,Low,47
WTH004476,Pune,1.17,Medium,15
WTH004477,Bangalore,0.29,Medium,21
WTH004478,Ahmedabad,16.23,Medium,38
WTH004479,Mumbai,4.49,Medium,50
WTH004480,Kolkata,2.25,Medium,55
WTH004481,Delhi,1.83,Low,12
WTH004482,Ahmedabad,12.91,Low,41
WTH004483,Mumbai,8.4,Low,7
WTH004484,Bangalore,0.6,Low,44
WTH004485,Hyderabad,3.97,Low,24
WTH004486,Bangalore,7.52,Low,34
WTH004487,Pune,2.96,Low,5
WTH004488,Pune,1.08,Low,28
WTH004489,Mumbai,6.21,Medium,31
WTH004490,Ahmedabad,4.02,Low,5
WTH004491,Pune,4.31,Low,44
WTH004492,Ahmedabad,5.34,Medium,19
WTH004493,Ahmedabad,4.15,Medium,24
WTH004494,Kolkata,5.37,Medium,55
WTH004495,Ahmedabad,6.95,Low,26
WTH004496,Bangalore,5.94,Low,47
WTH004497,Kolkata,2.07,Low,6
WTH004498,Ahmedabad,1.41,Low,30
WTH004499,Bangalore,8.38,Low,27
WTH004500,Mumbai,1.82,Medium,12
WTH004501,Kolkata,2.57,Medium,11
WTH004502,Bangalore,0.02,High,81
WTH004503,Delhi,2.87,Low,18
WTH004504,Ahmedabad,0.24,Medium,21
WTH004505,Pune,0.32,Low,17
WTH004506,Chennai,11.3,High,91
WTH004507,Ahmedabad,5.66,Low,34
WTH004508,Bangalore,3.2,Medium,14
WTH004509,Ahmedabad,1.5,High,63
WTH004510,Delhi,5.49,Low,53
WTH004511,Mumbai,6.55,Low,42
WTH004512,Chennai,0.0,Medium,43
WTH004513,Chennai,4.52,Low,38
WTH004514,Pune,2.44,Low,44
WTH004515,Chennai,5.87,Medium,20
WTH004516,Pune,2.96,Low,11
WTH004517,Delhi,0.19,Low,11
WTH004518,Hyderabad,0.45,Low,33
WTH004519,Chennai,3.39,Low,11
WTH004520,Chennai,4.34,Low,41
WTH004521,Bangalore,2.8,Low,29
WTH004522,Bangalore,1.35,High,74
WTH004523,Pune,5.16,Low,19
WTH004524,Chennai,2.22,Medium,47
WTH004525,Mumbai,6.15,Low,14
WTH004526,Pune,1.1,Low,16
WTH004527,Bangalore,0.54,Low,49
WTH004528,Hyderabad,0.2,High,61
WTH004529,Bangalore,1.6,Medium,26
WTH004530,Chennai,1.3,Low,26
WTH004531,Kolkata,1.84,Low,34
WTH004532,Pune,4.59,Low,22
WTH004533,Pune,2.57,Medium,15
WTH004534,Pune,0.35,Low,24
WTH004535,Ahmedabad,1.56,Medium,5
WTH004536,Chennai,1.93,Medium,18
WTH004537,Pune,4.21,Medium,50
WTH004538,Delhi,0.68,High,92
WTH004539,Mumbai,0.24,High,82
WTH004540,Ahmedabad,3.06,Low,46
WTH004541,Bangalore,0.54,Medium,59
WTH004542,Hyderabad,1.31,High,62
WTH004543,Mumbai,2.22,Medium,33
WTH004544,Hyderabad,0.61,Low,45
WTH004545,Kolkata,1.02,Low,43
WTH004546,Ahmedabad,2.01,High,89
WTH004547,Delhi,0.9,Medium,59
WTH004548,Chennai,1.2,Low,12
WTH004549,Bangalore,1.28,Low,34
WTH004550,Kolkata,4.18,High,97
WTH004551,Mumbai,0.6,Low,52
WTH004552,Mumbai,0.76,Medium,29
WTH004553,Delhi,8.55,High,77
WTH004554,Ahmedabad,2.12,Low,30
WTH004555,Ahmedabad,1.27,Low,14
WTH004556,Hyderabad,2.17,High,92
WTH004557,Pune,8.14,Low,49
WTH004558,Mumbai,0.03,Low,49
WTH004559,Kolkata,3.48,Low,20
WTH004560,Bangalore,2.87,High,69
WTH004561,Hyderabad,6.78,Low,49
WTH004562,Bangalore,0.55,Low,35
WTH004563,Bangalore,0.09,Low,53
WTH004564,Pune,0.13,Medium,58
WTH004565,Ahmedabad,2.68,Low,10
WTH004566,Hyderabad,3.26,Low,27
WTH004567,Chennai,0.59,Low,21
WTH004568,Kolkata,0.42,Low,45
WTH004569,Delhi,3.66,Low,44
WTH004570,Pune,0.13,Low,37
WTH004571,Mumbai,2.07,Medium,58
WTH004572,Pune,1.37,Low,47
WTH004573,Kolkata,3.73,Low,18
WTH004574,Hyderabad,4.18,Medium,9
WTH004575,Mumbai,1.81,Low,52
WTH004576,Pune,0.06,Low,22
WTH004577,Kolkata,1.01,Low,36
WTH004578,Mumbai,3.26,Low,30
WTH004579,Mumbai,0.12,Medium,13
WTH004580,Hyderabad,5.87,High,90
WTH004581,Delhi,2.18,Low,26
WTH004582,Chennai,3.9,High,87
WTH004583,Chennai,2.58,High,78
WTH004584,Bangalore,0.97,High,76
WTH004585,Bangalore,2.5,Medium,31
WTH004586,Kolkata,0.16,High,70
WTH004587,Pune,0.18,Low,11
WTH004588,Bangalore,2.14,Low,59
WTH004589,Hyderabad,0.66,Medium,43
WTH004590,Hyderabad,4.41,Medium,38
WTH004591,Pune,6.23,Low,29
WTH004592,Pune,3.25,Low,10
WTH004593,Chennai,1.07,Low,21
WTH004594,Ahmedabad,2.93,Low,33
WTH004595,Chennai,3.15,Low,46
WTH004596,Delhi,2.68,Medium,51
WTH004597,Pune,0.42,Low,17
WTH004598,Chennai,0.1,Low,6
WTH004599,Kolkata,0.5,Low,30
WTH004600,Pune,1.93,Low,12
WTH004601,Bangalore,0.63,Low,14
WTH004602,Chennai,5.76,Low,53
WTH004603,Hyderabad,2.18,Low,9
WTH004604,Hyderabad,4.81,Low,58
WTH004605,Kolkata,1.04,Low,33
WTH004606,Hyderabad,0.17,Low,40
WTH004607,Delhi,4.61,Medium,14
WTH004608,Bangalore,12.06,Low,13
WTH004609,Delhi,1.84,Low,39
WTH004610,Ahmedabad,2.32,Low,21
WTH004611,Ahmedabad,1.59,Low,18
WTH004612,Hyderabad,9.25,Low,41
WTH004613,Bangalore,0.42,Low,8
WTH004614,Bangalore,4.89,Medium,17
WTH004615,Kolkata,1.22,Low,52
WTH004616,Chennai,2.2,Low,25
WTH004617,Ahmedabad,6.08,Medium,21
WTH004618,Hyderabad,0.37,High,69
WTH004619,Kolkata,10.07,Low,52
WTH004620,Ahmedabad,4.1,Medium,44
WTH004621,Chennai,0.91,Medium,5
WTH004622,Pune,4.73,Low,19
WTH004623,Chennai,2.46,High,65
WTH004624,Chennai,7.57,Low,56
WTH004625,Kolkata,0.97,Medium,33
WTH004626,Kolkata,0.68,Low,9
WTH004627,Hyderabad,3.25,Low,20
WTH004628,Delhi,1.49,Medium,48
WTH004629,Ahmedabad,3.42,Medium,53
WTH004630,Chennai,0.58,Low,13
WTH004631,Ahmedabad,2.41,Low,43
WTH004632,Ahmedabad,0.33,Low,26
WTH004633,Pune,1.37,Medium,13
WTH004634,Bangalore,3.59,Low,46
WTH004635,Kolkata,0.66,Low,24
WTH004636,Bangalore,4.84,High,84
WTH004637,Ahmedabad,3.04,Low,27
WTH004638,Mumbai,0.7,Low,10
WTH004639,Ahmedabad,2.06,Low,29
WTH004640,Ahmedabad,4.69,High,71
WTH004641,Bangalore,2.07,Medium,41
WTH004642,Kolkata,1.91,Medium,30
WTH004643,Hyderabad,4.25,Medium,58
WTH004644,Kolkata,0.04,Low,15
WTH004645,Delhi,0.69,Low,44
WTH004646,Ahmedabad,6.16,Low,42
WTH004647,Kolkata,4.2,Medium,43
WTH004648,Chennai,1.97,Low,32
WTH004649,Hyderabad,0.78,Low,16
WTH004650,Ahmedabad,5.85,Low,37
WTH004651,Chennai,0.23,Low,20
WTH004652,Chennai,0.31,Low,15
WTH004653,Chennai,11.93,Medium,43
WTH004654,Hyderabad,4.81,Low,11
WTH004655,Bangalore,1.01,Low,35
WTH004656,Bangalore,1.24,Low,42
WTH004657,Ahmedabad,6.84,Low,59
WTH004658,Ahmedabad,8.27,Low,57
WTH004659,Chennai,0.84,Low,17
WTH004660,Kolkata,2.41,High,66
WTH004661,Delhi,0.26,Low,19
WTH004662,Ahmedabad,3.59,Low,44
WTH004663,Chennai,2.59,Medium,44
WTH004664,Ahmedabad,4.64,Low,8
WTH004665,Delhi,0.35,Low,48
WTH004666,Hyderabad,0.18,Low,13
WTH004667,Chennai,0.55,Low,53
WTH004668,Bangalore,0.4,Medium,22
WTH004669,Delhi,1.93,Low,57
WTH004670,Delhi,3.13,Low,13
WTH004671,Delhi,6.29,Low,18
WTH004672,Chennai,1.74,Medium,13
WTH004673,Delhi,1.33,Medium,25
WTH004674,Ahmedabad,6.49,Low,46
WTH004675,Chennai,1.48,Low,57
WTH004676,Delhi,0.5,Low,47
WTH004677,Delhi,0.03,Low,43
WTH004678,Ahmedabad,7.9,High,72
WTH004679,Chennai,2.91,Low,38
WTH004680,Ahmedabad,5.96,Low,26
WTH004681,Bangalore,13.09,High,98
WTH004682,Ahmedabad,2.5,Medium,15
WTH004683,Mumbai,1.17,Low,56
WTH004684,Bangalore,2.99,High,67
WTH004685,Mumbai,9.62,Low,20
WTH004686,Mumbai,0.49,Medium,16
WTH004687,Hyderabad,1.3,Medium,50
WTH004688,Hyderabad,0.45,Medium,45
WTH004689,Hyderabad,0.42,Low,16
WTH004690,Hyderabad,4.51,Low,47
WTH004691,Delhi,3.15,Low,52
WTH004692,Pune,1.45,Medium,41
WTH004693,Ahmedabad,1.15,Low,46
WTH004694,Delhi,9.47,Low,31
WTH004695,Delhi,0.43,Medium,7
WTH004696,Mumbai,0.53,Low,50
WTH004697,Delhi,2.44,High,86
WTH004698,Ahmedabad,5.69,Medium,51
WTH004699,Delhi,4.5,Low,55
WTH004700,Chennai,7.63,Medium,46
WTH004701,Pune,11.74,Low,53
WTH004702,Mumbai,1.69,Low,54
WTH004703,Hyderabad,2.41,Medium,35
WTH004704,Chennai,9.98,Low,26
WTH004705,Ahmedabad,1.47,Low,5
WTH004706,Kolkata,4.97,Low,30
WTH004707,Bangalore,0.03,Low,30
WTH004708,Delhi,7.14,High,73
WTH004709,Kolkata,2.24,Low,12
WTH004710,Chennai,0.17,Low,30
WTH004711,Chennai,1.63,Low,39
WTH004712,Mumbai,3.42,Low,58
WTH004713,Ahmedabad,3.1,Low,38
WTH004714,Pune,3.66,Medium,9
WTH004715,Pune,0.12,Low,41
WTH004716,Delhi,1.42,Low,57
WTH004717,Ahmedabad,0.54,Low,11
WTH004718,Delhi,3.58,Low,48
WTH004719,Mumbai,2.23,Low,6
WTH004720,Chennai,7.92,Low,11
WTH004721,Mumbai,0.61,Low,48
WTH004722,Hyderabad,4.25,Low,31
WTH004723,Ahmedabad,6.9,Low,20
WTH004724,Ahmedabad,1.45,Medium,56
WTH004725,Chennai,2.18,Low,34
WTH004726,Chennai,5.44,Low,57
WTH004727,Mumbai,3.86,Low,53
WTH004728,Chennai,2.38,Low,21
WTH004729,Delhi,1.09,Low,9
WTH004730,Chennai,2.44,Medium,42
WTH004731,Bangalore,4.03,Medium,51
WTH004732,Mumbai,2.96,Low,37
WTH004733,Hyderabad,1.63,Medium,15
WTH004734,Ahmedabad,4.54,Medium,55
WTH004735,Mumbai,0.64,Low,13
WTH004736,Chennai,7.77,Medium,34
WTH004737,Pune,2.62,Low,30
WTH004738,Ahmedabad,0.02,High,69
WTH004739,Bangalore,2.08,Medium,53
WTH004740,Hyderabad,0.55,Medium,8
WTH004741,Kolkata,2.26,Low,31
WTH004742,Kolkata,2.48,Medium,20
WTH004743,Mumbai,4.61,Low,26
WTH004744,Mumbai,1.78,High,71
WTH004745,Mumbai,11.36,Low,13
WTH004746,Mumbai,0.39,Low,17
WTH004747,Hyderabad,9.84,Low,49
WTH004748,Ahmedabad,1.24,Low,27
WTH004749,Bangalore,14.31,Low,43
WTH004750,Bangalore,2.17,High,63
WTH004751,Kolkata,3.81,Medium,27
WTH004752,Hyderabad,0.63,Low,57
WTH004753,Bangalore,0.62,Low,14
WTH004754,Bangalore,0.07,Low,32
WTH004755,Kolkata,8.17,High,95
WTH004756,Hyderabad,0.35,Low,9
WTH004757,Hyderabad,1.24,Low,48
WTH004758,Pune,3.2,High,99
WTH004759,Delhi,2.86,Low,23
WTH004760,Mumbai,0.97,Low,27
WTH004761,Chennai,1.17,Low,41
WTH004762,Bangalore,2.49,Medium,40
WTH004763,Delhi,0.93,Low,41
WTH004764,Kolkata,0.11,Low,57
WTH004765,Mumbai,0.06,Low,51
WTH004766,Hyderabad,3.17,Medium,18
WTH004767,Ahmedabad,1.94,High,64
WTH004768,Chennai,3.15,Low,23
WTH004769,Hyderabad,0.38,Low,15
WTH004770,Ahmedabad,3.33,Medium,44
WTH004771,Ahmedabad,13.57,Low,12
WTH004772,Chennai,3.88,Low,27
WTH004773,Mumbai,6.67,Low,18
WTH004774,Kolkata,1.18,Medium,43
WTH004775,Chennai,2.91,Low,35
WTH004776,Ahmedabad,1.4,Low,24
WTH004777,Mumbai,1.26,Low,28
WTH004778,Ahmedabad,1.39,Low,54
WTH004779,Kolkata,4.39,Low,12
WTH004780,Delhi,5.8,Low,12
WTH004781,Pune,1.81,Low,8
WTH004782,Kolkata,8.13,Low,22
WTH004783,Mumbai,0.87,Low,39
WTH004784,Bangalore,6.14,Low,9
WTH004785,Pune,6.21,Medium,33
WTH004786,Kolkata,0.09,Low,32
WTH004787,Bangalore,0.27,Low,29
WTH004788,Ahmedabad,7.87,Low,52
WTH004789,Mumbai,0.69,Medium,38
WTH004790,Kolkata,1.31,Low,25
WTH004791,Chennai,2.4,Low,49
WTH004792,Mumbai,0.44,Low,53
WTH004793,Chennai,2.53,Low,38
WTH004794,Bangalore,2.9,Medium,39
WTH004795,Mumbai,1.48,Low,58
WTH004796,Delhi,12.52,Low,54
WTH004797,Chennai,2.42,Medium,11
WTH004798,Pune,2.14,Low,47
WTH004799,Hyderabad,5.0,Medium,8
WTH004800,Bangalore,10.38,Low,23
WTH004801,Mumbai,2.11,Low,57
WTH004802,Delhi,1.11,Low,52
WTH004803,Pune,1.13,Medium,27
WTH004804,Kolkata,1.12,Medium,42
WTH004805,Pune,0.65,Low,41
WTH004806,Delhi,3.23,Low,59
WTH004807,Kolkata,7.07,Low,51
WTH004808,Mumbai,1.32,Low,23
WTH004809,Ahmedabad,6.23,Medium,11
WTH004810,Bangalore,5.11,Medium,38
WTH004811,Mumbai,10.28,High,64
WTH004812,Ahmedabad,0.53,Low,59
WTH004813,Bangalore,8.17,Low,14
WTH004814,Bangalore,1.09,Medium,30
WTH004815,Delhi,2.05,Medium,52
WTH004816,Ahmedabad,1.64,Low,43
WTH004817,Chennai,4.35,Medium,39
WTH004818,Mumbai,1.74,High,81
WTH004819,Ahmedabad,2.12,Medium,23
WTH004820,Hyderabad,0.5,Low,23
WTH004821,Kolkata,2.15,Low,21
WTH004822,Kolkata,8.26,Low,9
WTH004823,Delhi,1.91,Low,52
WTH004824,Kolkata,2.25,Low,28
WTH004825,Chennai,0.77,Low,38
WTH004826,Mumbai,2.15,Medium,17
WTH004827,Pune,6.05,Low,5
WTH004828,Pune,2.21,Medium,20
WTH004829,Mumbai,6.19,Medium,55
WTH004830,Delhi,0.8,Medium,40
WTH004831,Kolkata,4.67,High,76
WTH004832,Hyderabad,1.25,Low,54
WTH004833,Kolkata,0.44,Low,28
WTH004834,Hyderabad,0.05,Low,21
WTH004835,Pune,4.6,Medium,16
WTH004836,Kolkata,0.67,Low,41
WTH004837,Bangalore,3.07,Low,46
WTH004838,Kolkata,2.01,Low,17
WTH004839,Ahmedabad,3.05,Low,22
WTH004840,Bangalore,1.04,Low,10
WTH004841,Ahmedabad,1.47,Medium,24
WTH004842,Hyderabad,4.44,Low,36
WTH004843,Bangalore,0.25,Low,27
WTH004844,Kolkata,0.42,Low,14
WTH004845,Mumbai,10.02,Low,42
WTH004846,Hyderabad,1.06,Low,33
WTH004847,Kolkata,0.45,Low,17
WTH004848,Pune,1.62,Medium,6
WTH004849,Ahmedabad,2.26,Low,56
WTH004850,Mumbai,0.79,Low,49
WTH004851,Mumbai,0.26,Medium,19
WTH004852,Hyderabad,0.65,Low,36
WTH004853,Chennai,0.83,Medium,20
WTH004854,Kolkata,0.1,Low,36
WTH004855,Kolkata,6.61,Low,48
WTH004856,Pune,2.2,Low,33
WTH004857,Ahmedabad,6.26,Medium,59
WTH004858,Ahmedabad,9.27,Low,52
WTH004859,Kolkata,0.15,Medium,59
WTH004860,Delhi,5.94,Low,49
WTH004861,Mumbai,0.95,Low,35
WTH004862,Mumbai,0.15,Low,21
WTH004863,Mumbai,2.49,Low,32
WTH004864,Pune,2.13,High,87
WTH004865,Pune,0.38,Medium,54
WTH004866,Pune,2.88,Low,38
WTH004867,Delhi,1.65,Low,51
WTH004868,Mumbai,0.89,Low,52
WTH004869,Ahmedabad,0.81,Medium,35
WTH004870,Ahmedabad,1.57,Low,27
WTH004871,Ahmedabad,4.54,Low,38
WTH004872,Mumbai,2.05,Low,22
WTH004873,Chennai,0.3,Low,20
WTH004874,Ahmedabad,1.48,Low,25
WTH004875,Chennai,2.3,High,62
WTH004876,Kolkata,2.37,Medium,53
WTH004877,Chennai,2.48,Low,31
WTH004878,Mumbai,0.41,Low,37
WTH004879,Kolkata,5.03,Low,38
WTH004880,Delhi,8.45,Low,47
WTH004881,Mumbai,7.27,Medium,25
WTH004882,Bangalore,0.32,Medium,41
WTH004883,Kolkata,8.28,Low,58
WTH004884,Mumbai,1.38,Low,26
WTH004885,Kolkata,3.51,Low,28
WTH004886,Ahmedabad,1.18,Medium,15
WTH004887,Chennai,0.65,Medium,21
WTH004888,Bangalore,1.53,Low,29
WTH004889,Mumbai,9.75,Low,13
WTH004890,Delhi,2.05,Low,30
WTH004891,Ahmedabad,0.15,Medium,12
WTH004892,Kolkata,0.58,High,73
WTH004893,Chennai,2.05,Low,54
WTH004894,Pune,1.4,Medium,59
WTH004895,Chennai,2.98,Medium,55
WTH004896,Chennai,0.95,High,65
WTH004897,Pune,2.7,Medium,45
WTH004898,Ahmedabad,0.62,Medium,58
WTH004899,Kolkata,2.92,Low,54
WTH004900,Pune,3.22,Medium,19
WTH004901,Mumbai,5.97,Low,28
WTH004902,Mumbai,1.62,Low,7
WTH004903,Bangalore,2.39,Low,31
WTH004904,Delhi,0.0,Medium,21
WTH004905,Ahmedabad,0.49,Low,28
WTH004906,Delhi,3.13,Low,38
WTH004907,Kolkata,0.59,Medium,34
WTH004908,Pune,1.21,High,88
WTH004909,Pune,5.09,Low,15
WTH004910,Chennai,7.82,Low,6
WTH004911,Ahmedabad,2.66,Low,35
WTH004912,Pune,2.53,Low,39
WTH004913,Chennai,4.97,High,61
WTH004914,Kolkata,10.54,High,86
WTH004915,Chennai,8.54,Low,13
WTH004916,Kolkata,1.94,Low,48
WTH004917,Bangalore,0.54,Low,40
WTH004918,Bangalore,0.4,Medium,55
WTH004919,Chennai,2.44,High,72
WTH004920,Bangalore,3.32,High,98
WTH004921,Hyderabad,1.54,Low,52
WTH004922,Delhi,0.17,Low,31
WTH004923,Ahmedabad,0.17,Low,27
WTH004924,Bangalore,0.73,Low,7
WTH004925,Hyderabad,0.2,Low,39
WTH004926,Pune,6.62,Medium,38
WTH004927,Mumbai,1.35,High,97
WTH004928,Kolkata,3.11,Low,43
WTH004929,Pune,2.26,Low,10
WTH004930,Ahmedabad,0.82,Medium,36
WTH004931,Bangalore,4.57,Medium,20
WTH004932,Chennai,2.41,Low,27
WTH004933,Bangalore,0.84,Low,58
WTH004934,Kolkata,11.82,High,77
WTH004935,Chennai,2.86,Medium,39
WTH004936,Delhi,1.58,Low,13
WTH004937,Delhi,0.87,Medium,57
WTH004938,Bangalore,4.09,Low,8
WTH004939,Pune,1.86,Low,44
WTH004940,Ahmedabad,1.23,Medium,51
WTH004941,Pune,2.64,Low,27
WTH004942,Pune,0.88,Low,10
WTH004943,Chennai,1.48,Low,22
WTH004944,Ahmedabad,0.67,Low,32
WTH004945,Kolkata,2.68,Medium,14
WTH004946,Chennai,0.93,Low,55
WTH004947,Kolkata,0.98,Medium,8
WTH004948,Kolkata,0.63,Medium,16
WTH004949,Mumbai,6.59,Low,36
WTH004950,Mumbai,1.72,Medium,44
WTH004951,Mumbai,4.39,Low,30
WTH004952,Ahmedabad,0.02,Medium,25
WTH004953,Delhi,0.68,Low,6
WTH004954,Bangalore,0.28,Low,54
WTH004955,Bangalore,0.96,High,62
WTH004956,Kolkata,0.6,Low,17
WTH004957,Hyderabad,4.2,Low,26
WTH004958,Chennai,2.81,Low,32
WTH004959,Kolkata,5.79,Medium,58
WTH004960,Bangalore,5.29,Medium,9
WTH004961,Bangalore,3.37,High,74
WTH004962,Mumbai,1.33,Medium,9
WTH004963,Delhi,5.7,Medium,53
WTH004964,Ahmedabad,5.78,Low,29
WTH004965,Ahmedabad,1.35,Low,56
WTH004966,Pune,4.08,Low,28
WTH004967,Bangalore,4.14,Low,55
WTH004968,Hyderabad,10.81,Low,56
WTH004969,Pune,11.36,Low,37
WTH004970,Kolkata,2.77,Low,58
WTH004971,Delhi,11.33,Medium,10
WTH004972,Kolkata,3.77,High,96
WTH004973,Kolkata,2.07,Low,45
WTH004974,Pune,6.54,Low,50
WTH004975,Bangalore,1.99,Low,29
WTH004976,Bangalore,0.13,Medium,9
WTH004977,Kolkata,2.14,Low,22
WTH004978,Delhi,1.05,Low,8
WTH004979,Ahmedabad,0.3,Medium,18
WTH004980,Kolkata,1.8,High,62
WTH004981,Bangalore,11.26,Medium,14
WTH004982,Hyderabad,0.56,Low,24
WTH004983,Ahmedabad,5.01,Medium,38
WTH004984,Mumbai,1.7,Medium,9
WTH004985,Ahmedabad,4.28,Low,45
WTH004986,Hyderabad,1.62,Low,11
WTH004987,Hyderabad,3.24,High,75
WTH004988,Mumbai,3.1,Low,12
WTH004989,Kolkata,3.48,High,86
WTH004990,Delhi,0.45,Medium,34
WTH004991,Hyderabad,2.75,Low,24
WTH004992,Ahmedabad,5.07,Medium,12
WTH004993,Kolkata,0.03,Low,32
