resource_id,resource_type,vehicle_type,max_load_kg,emission_factor_gkm,area_familiarity_score,historical_success_rate
RES008424,Vehicle,Truck,123.16,109.31,63,0.95
RES008425,Vehicle,Van,955.74,276.13,84,0.74
RES008426,Vehicle,Truck,57.51,159.75,55,0.91
RES008427,Vehicle,Bike,466.22,307.5,38,0.73
RES008428,Vehicle,Truck,540.64,278.05,61,0.75
RES008429,Vehicle,Truck,706.69,243.97,79,0.83
RES008430,Rider,Bike,476.91,317.55,49,0.77
RES008431,Vehicle,Bike,198.28,119.8,96,0.71
RES008432,Rider,Truck,615.37,193.08,51,0.87
RES008433,Rider,Truck,479.31,207.63,69,0.78
RES008434,Vehicle,Van,523.16,140.2,45,0.98
RES008435,Vehicle,Bike,47.96,338.74,45,0.84
RES008436,Rider,Van,747.38,83.27,46,0.96
RES008437,Rider,Bike,161.72,277.96,85,0.91
RES008438,Vehicle,Van,693.44,261.55,85,0.8
RES008439,Vehicle,Van,234.03,114.31,40,0.89
RES008440,Rider,Van,71.24,310.68,78,0.72
RES008441,Vehicle,Truck,249.36,178.82,50,0.7
RES008442,Rider,Bike,189.26,245.65,83,0.93
RES008443,Rider,Truck,146.31,254.9,61,0.91
RES008444,Rider,Truck,164.61,85.41,64,0.93
RES008445,Vehicle,Truck,600.22,92.42,43,0.74
RES008446,Vehicle,Van,661.0,299.98,38,0.87
RES008447,Vehicle,Truck,113.89,229.9,30,0.75
RES008448,Vehicle,Truck,26.08,291.23,67,0.92
RES008449,Rider,Truck,462.31,292.1,46,0.87
RES008450,Vehicle,Van,414.17,117.65,82,0.74
RES008451,Vehicle,Bike,649.82,308.29,80,0.74
RES008452,Vehicle,Truck,954.29,245.21,52,0.77
RES008453,Vehicle,Truck,490.13,172.51,31,0.7
RES008454,Rider,Bike,277.18,256.96,97,0.93
RES008455,Vehicle,Truck,811.71,159.36,64,0.92
RES008456,Rider,Van,870.29,344.99,37,0.88
RES008457,Rider,Van,99.73,253.73,84,0.75
RES008458,Rider,Bike,879.18,230.25,74,0.79
RES008459,Vehicle,Van,771.38,175.39,30,0.95
RES008460,Vehicle,Bike,595.25,237.43,35,0.72
RES008461,Vehicle,Van,45.47,135.73,37,0.98
RES008462,Rider,Van,367.61,261.84,81,0.75
RES008463,Rider,Van,39.82,84.0,85,0.97
RES008464,Rider,Van,589.27,304.86,78,0.73
RES008465,Rider,Van,935.05,106.13,31,0.72
RES008466,Rider,Van,322.93,63.88,79,0.92
RES008467,Vehicle,Van,914.68,284.52,92,0.92
RES008468,Vehicle,Bike,438.19,64.59,85,0.94
RES008469,Rider,Van,698.57,122.07,43,0.85
RES008470,Vehicle,Truck,164.0,256.89,92,0.89
RES008471,Vehicle,Van,345.97,333.71,87,0.7
RES008472,Rider,Van,489.16,115.88,61,0.8
RES008473,Vehicle,Bike,982.14,102.63,30,0.88
RES008474,Rider,Bike,453.18,95.3,55,0.97
RES008475,Rider,Truck,535.2,120.27,57,0.91
RES008476,Rider,Truck,537.35,193.31,50,0.76
RES008477,Rider,Van,850.66,155.97,92,0.96
RES008478,Vehicle,Bike,735.46,301.36,75,0.96
RES008479,Rider,Van,709.45,171.44,36,0.93
RES008480,Vehicle,Van,556.54,124.01,41,0.98
RES008481,Rider,Bike,311.77,262.07,81,0.75
RES008482,Vehicle,Van,369.35,99.02,45,0.84
RES008483,Rider,Van,969.49,76.37,84,0.73
RES008484,Vehicle,Truck,74.81,303.97,76,0.89
RES008485,Vehicle,Bike,301.3,146.78,83,0.7
RES008486,Vehicle,Bike,887.06,104.66,75,0.81
RES008487,Rider,Bike,78.99,173.2,54,0.93
RES008488,Rider,Truck,178.06,181.2,61,0.93
RES008489,Rider,Bike,359.79,316.85,75,0.98
RES008490,Vehicle,Truck,452.63,184.42,50,0.72
RES008491,Vehicle,Van,961.95,306.01,79,0.8
RES008492,Vehicle,Van,580.18,215.21,62,0.88
RES008493,Vehicle,Bike,429.94,134.16,49,0.84
RES008494,Vehicle,Bike,272.6,98.2,35,0.81
RES008495,Rider,Bike,832.71,250.71,60,0.96
RES008496,Vehicle,Van,333.5,327.18,65,0.71
RES008497,Rider,Bike,472.86,172.86,59,0.74
RES008498,Rider,Truck,872.09,216.3,36,0.91
RES008499,Vehicle,Bike,531.11,349.12,36,0.91
RES008500,Vehicle,Van,491.42,94.96,91,0.75
RES008501,Vehicle,Truck,914.04,126.47,86,0.95
RES008502,Vehicle,Van,821.33,73.49,36,0.92
RES008503,Vehicle,Van,384.06,108.88,79,0.89
RES008504,Vehicle,Truck,389.52,276.59,84,0.91
RES008505,Vehicle,Bike,65.29,152.8,60,0.73
RES008506,Rider,Bike,275.97,318.03,55,0.71
RES008507,Vehicle,Van,424.88,265.36,48,0.78
RES008508,Vehicle,Truck,737.15,337.72,78,0.8
RES008509,Vehicle,Bike,734.63,236.06,53,0.79
RES008510,Rider,Bike,745.34,256.68,95,0.93
RES008511,Rider,Van,855.82,309.05,53,0.94
RES008512,Vehicle,Truck,373.36,237.94,70,0.92
RES008513,Vehicle,Truck,142.59,192.33,57,0.98
RES008514,Vehicle,Van,693.71,296.01,81,0.73
RES008515,Vehicle,Bike,317.95,155.75,91,0.81
RES008516,Rider,Truck,154.18,284.88,90,0.82
RES008517,Vehicle,Truck,885.01,68.52,81,0.97
RES008518,Vehicle,Van,241.85,106.81,52,0.9
RES008519,Vehicle,Bike,930.44,316.27,42,0.89
RES008520,Vehicle,Van,126.64,231.37,49,0.92
RES008521,Rider,Bike,764.56,246.1,86,0.93
RES008522,Rider,Van,886.97,166.81,62,0.81
RES008523,Rider,Bike,97.95,283.11,47,0.8
RES008524,Vehicle,Truck,493.95,177.77,70,0.84
RES008525,Vehicle,Bike,809.33,317.8,94,0.91
RES008526,Rider,Bike,400.82,284.82,94,0.98
RES008527,Vehicle,Truck,928.98,64.64,92,0.89
RES008528,Rider,Truck,768.69,270.63,42,0.84
RES008529,Rider,Van,947.85,224.24,96,0.79
RES008530,Vehicle,Truck,126.22,216.33,67,0.85
RES008531,Rider,Van,495.89,205.46,76,0.87
RES008532,Rider,Van,276.4,274.18,43,0.74
RES008533,Rider,Bike,133.01,244.68,53,0.97
RES008534,Vehicle,Van,457.09,63.92,43,0.8
RES008535,Vehicle,Truck,926.88,204.66,68,0.78
RES008536,Vehicle,Truck,791.7,269.17,60,0.71
RES008537,Rider,Truck,887.55,211.53,52,0.97
RES008538,Rider,Truck,100.05,338.62,59,0.84
RES008539,Vehicle,Bike,723.16,296.31,38,0.75
RES008540,Rider,Truck,859.54,107.47,48,0.79
RES008541,Vehicle,Truck,407.09,269.5,35,0.78
RES008542,Vehicle,Van,484.7,339.81,46,0.84
RES008543,Rider,Bike,158.76,72.5,63,0.8
RES008544,Rider,Van,276.03,302.64,84,0.81
RES008545,Rider,Truck,887.9,309.5,36,0.93
RES008546,Rider,Truck,208.5,348.58,31,0.98
RES008547,Vehicle,Bike,282.53,262.26,56,0.85
RES008548,Rider,Truck,693.52,61.34,53,0.89
RES008549,Rider,Truck,349.57,340.98,65,0.88
RES008550,Vehicle,Van,882.04,221.38,49,0.91
RES008551,Vehicle,Van,232.71,306.11,69,0.86
RES008552,Vehicle,Truck,749.83,223.7,60,0.89
RES008553,Vehicle,Van,309.53,322.57,91,0.87
RES008554,Rider,Bike,649.12,257.65,56,0.81
RES008555,Vehicle,Van,213.95,158.48,76,0.77
RES008556,Vehicle,Van,613.41,251.13,56,0.89
RES008557,Rider,Van,663.24,261.77,84,0.97
RES008558,Rider,Truck,296.25,311.84,36,0.93
RES008559,Rider,Bike,560.5,230.36,64,0.95
RES008560,Vehicle,Van,872.53,134.63,30,0.8
RES008561,Vehicle,Van,209.1,94.29,42,0.8
RES008562,Vehicle,Van,350.83,239.74,47,0.71
RES008563,Vehicle,Bike,520.26,265.12,52,0.72
RES008564,Rider,Bike,375.68,67.76,62,0.95
RES008565,Rider,Van,976.66,154.21,55,0.73
RES008566,Vehicle,Van,70.58,201.25,99,0.93
RES008567,Vehicle,Bike,259.17,108.61,41,0.94
RES008568,Vehicle,Truck,254.41,190.99,92,0.77
RES008569,Rider,Bike,445.31,177.17,74,0.93
RES008570,Rider,Van,503.8,325.55,97,0.91
RES008571,Rider,Truck,161.9,235.14,94,0.72
RES008572,Rider,Bike,839.39,157.53,38,0.81
RES008573,Vehicle,Van,945.36,126.35,92,0.86
RES008574,Rider,Van,150.05,102.4,80,0.92
RES008575,Vehicle,Bike,927.47,326.2,67,0.84
RES008576,Rider,Van,594.03,167.46,31,0.81
RES008577,Rider,Truck,797.62,256.53,64,0.84
RES008578,Vehicle,Truck,579.23,109.22,90,0.89
RES008579,Vehicle,Truck,735.27,99.26,73,0.96
RES008580,Rider,Truck,768.09,249.19,64,0.76
RES008581,Rider,Bike,179.26,244.61,48,0.78
RES008582,Rider,Bike,265.39,327.68,75,0.76
RES008583,Rider,Bike,611.96,210.36,69,0.75
RES008584,Rider,Van,579.47,140.05,72,0.96
RES008585,Rider,Van,777.24,243.67,73,0.95
RES008586,Vehicle,Truck,61.58,214.74,44,0.96
RES008587,Rider,Bike,818.52,328.82,73,0.86
RES008588,Rider,Van,961.97,143.66,39,0.92
RES008589,Vehicle,Bike,605.63,271.07,71,0.86
RES008590,Vehicle,Truck,678.03,259.27,76,0.71
RES008591,Vehicle,Bike,353.15,152.1,65,0.87
RES008592,Vehicle,Truck,925.55,340.0,50,0.75
RES008593,Rider,Van,505.73,282.58,94,0.9
RES008594,Rider,Bike,799.14,115.2,45,0.97
RES008595,Rider,Van,331.75,179.23,54,0.7
RES008596,Rider,Truck,953.28,258.13,54,0.81
RES008597,Rider,Truck,290.66,118.83,39,0.84
RES008598,Vehicle,Bike,801.67,189.96,45,0.93
RES008599,Rider,Bike,22.83,80.48,47,0.92
RES008600,Vehicle,Truck,536.41,174.34,96,0.72
RES008601,Rider,Truck,367.24,269.68,59,0.76
RES008602,Rider,Bike,302.12,265.04,93,0.79
RES008603,Rider,Bike,356.41,253.61,47,0.87
RES008604,Vehicle,Van,379.67,161.09,43,0.74
RES008605,Rider,Bike,283.51,297.48,82,0.79
RES008606,Vehicle,Truck,998.12,210.78,92,0.86
RES008607,Rider,Van,550.94,331.99,97,0.96
RES008608,Rider,Truck,109.19,312.72,45,0.82
RES008609,Rider,Van,557.9,131.85,81,0.91
RES008610,Vehicle,Truck,160.5,323.32,92,0.81
RES008611,Rider,Van,173.8,138.8,80,0.76
RES008612,Vehicle,Truck,375.81,322.85,76,0.9
RES008613,Vehicle,Van,87.2,136.76,87,0.94
RES008614,Vehicle,Truck,883.76,67.72,31,0.92
RES008615,Rider,Bike,888.03,185.2,30,0.95
RES008616,Rider,Bike,399.58,251.41,54,0.94
RES008617,Vehicle,Van,169.98,265.83,48,0.93
RES008618,Vehicle,Truck,508.33,70.89,43,0.85
RES008619,Vehicle,Van,823.14,329.73,69,0.91
RES008620,Rider,Van,469.67,290.87,71,0.78
RES008621,Rider,Truck,282.29,94.74,62,0.91
RES008622,Rider,Van,552.94,162.2,68,0.73
RES008623,Vehicle,Van,15.49,176.65,40,0.92
RES008624,Rider,Truck,422.03,347.65,78,0.74
RES008625,Rider,Truck,292.85,128.73,80,0.81
RES008626,Rider,Van,500.65,202.61,33,0.87
RES008627,Vehicle,Van,43.94,178.99,72,0.84
RES008628,Vehicle,Truck,540.51,189.02,38,0.77
RES008629,Rider,Bike,729.5,98.9,94,0.86
RES008630,Vehicle,Van,833.72,285.66,93,0.94
RES008631,Vehicle,Truck,795.69,176.75,88,0.96
RES008632,Vehicle,Truck,291.6,120.91,53,0.97
RES008633,Rider,Van,444.3,125.28,69,0.97
RES008634,Rider,Truck,209.09,147.05,47,0.71
RES008635,Vehicle,Van,574.08,289.66,62,0.9
RES008636,Rider,Bike,52.96,342.96,96,0.94
RES008637,Vehicle,Bike,663.07,152.51,87,0.82
RES008638,Rider,Bike,387.98,333.18,55,0.92
RES008639,Vehicle,Van,625.35,287.94,47,0.79
RES008640,Rider,Truck,766.72,227.21,46,0.77
RES008641,Rider,Van,134.04,151.44,30,0.71
RES008642,Vehicle,Van,68.12,186.72,88,0.87
RES008643,Rider,Van,676.18,86.06,71,0.76
RES008644,Vehicle,Bike,641.58,323.63,50,0.8
RES008645,Rider,Truck,935.84,89.14,55,0.8
RES008646,Rider,Bike,669.69,112.83,75,0.77
RES008647,Vehicle,Van,834.04,164.77,82,0.84
RES008648,Vehicle,Van,333.31,61.51,76,0.71
RES008649,Rider,Truck,592.55,141.56,48,0.93
RES008650,Rider,Bike,515.24,83.89,73,0.76
RES008651,Vehicle,Van,227.17,108.69,86,0.92
RES008652,Vehicle,Van,532.25,133.24,82,0.87
RES008653,Rider,Truck,332.59,299.44,46,0.74
RES008654,Rider,Bike,186.25,163.97,62,0.97
RES008655,Rider,Van,205.53,218.65,38,0.94
RES008656,Rider,Bike,619.51,254.56,36,0.97
RES008657,Vehicle,Van,797.57,307.77,68,0.89
RES008658,Vehicle,Bike,62.49,258.04,57,0.84
RES008659,Vehicle,Truck,930.65,60.74,89,0.7
RES008660,Rider,Bike,880.25,196.74,65,0.95
RES008661,Vehicle,Truck,7.9,121.4,79,0.78
RES008662,Rider,Bike,97.09,162.24,30,0.88
RES008663,Rider,Truck,462.05,275.91,64,0.78
RES008664,Vehicle,Bike,979.22,315.69,47,0.91
RES008665,Vehicle,Bike,64.52,333.5,58,0.8
RES008666,Vehicle,Bike,534.1,155.04,59,0.94
RES008667,Rider,Bike,165.38,136.14,59,0.9
RES008668,Rider,Truck,64.01,191.74,95,0.77
RES008669,Rider,Truck,44.05,151.43,57,0.83
RES008670,Vehicle,Truck,332.78,244.1,67,0.81
RES008671,Vehicle,Truck,30.06,289.41,79,0.97
RES008672,Vehicle,Truck,212.14,105.67,83,0.85
RES008673,Vehicle,Truck,838.97,233.22,90,0.87
RES008674,Vehicle,Truck,652.53,321.85,49,0.88
RES008675,Rider,Van,919.69,173.39,51,0.9
RES008676,Vehicle,Van,43.19,60.03,51,0.81
RES008677,Rider,Bike,163.35,188.52,57,0.75
RES008678,Vehicle,Van,726.66,198.02,85,0.83
RES008679,Vehicle,Van,558.54,277.04,65,0.96
RES008680,Vehicle,Truck,325.52,222.9,63,0.87
RES008681,Vehicle,Van,385.99,324.1,93,0.83
RES008682,Vehicle,Van,491.97,130.89,65,0.94
RES008683,Vehicle,Truck,259.89,172.87,42,0.83
RES008684,Rider,Truck,407.78,323.68,60,0.75
RES008685,Vehicle,Van,899.11,289.88,85,0.87
RES008686,Vehicle,Van,917.73,309.01,74,0.87
RES008687,Vehicle,Truck,450.16,176.01,50,0.85
RES008688,Vehicle,Van,356.93,130.2,93,0.83
RES008689,Rider,Van,965.91,175.9,37,0.78
RES008690,Vehicle,Van,250.6,97.43,36,0.96
RES008691,Vehicle,Bike,956.92,202.32,48,0.92
RES008692,Rider,Bike,472.85,285.16,43,0.71
RES008693,Vehicle,Bike,276.96,161.1,70,0.98
RES008694,Vehicle,Van,998.55,264.44,63,0.74
RES008695,Vehicle,Van,91.5,187.68,81,0.88
RES008696,Vehicle,Van,57.42,307.83,69,0.78
RES008697,Rider,Truck,915.06,157.92,62,0.83
RES008698,Rider,Truck,738.31,163.19,84,0.82
RES008699,Vehicle,Truck,52.72,320.17,34,0.88
RES008700,Rider,Van,786.91,252.43,43,0.95
RES008701,Rider,Van,71.69,267.36,61,0.9
RES008702,Rider,Bike,549.75,324.76,86,0.95
RES008703,Rider,Van,967.85,118.73,44,0.91
RES008704,Rider,Bike,338.81,104.77,61,0.89
RES008705,Vehicle,Bike,96.83,226.63,80,0.85
RES008706,Rider,Truck,221.67,124.39,57,0.92
RES008707,Vehicle,Van,337.4,113.39,65,0.86
RES008708,Rider,Truck,104.66,120.59,86,0.8
RES008709,Vehicle,Bike,644.67,272.0,94,0.94
RES008710,Rider,Van,589.92,147.3,68,0.84
RES008711,Vehicle,Bike,578.37,147.06,80,0.75
RES008712,Vehicle,Truck,753.8,137.06,99,0.9
RES008713,Rider,Truck,382.02,137.87,43,0.88
RES008714,Rider,Bike,625.46,277.24,54,0.81
RES008715,Vehicle,Van,706.18,127.56,49,0.78
RES008716,Rider,Van,616.29,202.31,84,0.76
RES008717,Rider,Truck,914.65,88.68,75,0.7
RES008718,Rider,Van,880.6,212.87,61,0.84
RES008719,Vehicle,Van,454.98,250.9,35,0.83
RES008720,Vehicle,Bike,255.8,288.98,93,0.71
RES008721,Vehicle,Bike,926.7,334.67,57,0.81
RES008722,Rider,Truck,332.39,340.41,79,0.81
RES008723,Rider,Truck,262.65,169.04,71,0.74
RES008724,Rider,Truck,375.05,242.39,59,0.91
RES008725,Vehicle,Van,976.77,326.73,39,0.82
RES008726,Rider,Bike,779.86,189.02,81,0.76
RES008727,Rider,Bike,682.64,189.13,92,0.75
RES008728,Vehicle,Truck,907.16,282.67,69,0.7
RES008729,Rider,Van,256.56,74.57,47,0.71
RES008730,Rider,Bike,569.3,223.23,56,0.91
RES008731,Vehicle,Truck,740.24,217.68,40,0.92
RES008732,Rider,Truck,632.03,222.94,40,0.88
RES008733,Vehicle,Van,667.9,333.62,34,0.81
RES008734,Rider,Truck,907.32,143.37,79,0.75
RES008735,Vehicle,Truck,881.47,143.23,87,0.72
RES008736,Vehicle,Van,471.98,318.79,72,0.97
RES008737,Rider,Bike,608.53,247.58,73,0.78
RES008738,Rider,Truck,740.47,88.01,30,0.7
RES008739,Rider,Van,232.81,68.59,90,0.98
RES008740,Rider,Truck,608.25,104.46,67,0.86
RES008741,Vehicle,Bike,646.17,74.51,81,0.88
RES008742,Vehicle,Van,791.42,83.24,89,0.74
RES008743,Vehicle,Bike,773.38,253.6,55,0.97
RES008744,Rider,Van,96.7,76.5,69,0.83
RES008745,Vehicle,Van,80.39,65.78,89,0.85
RES008746,Vehicle,Truck,862.33,330.45,69,0.72
RES008747,Rider,Van,26.01,108.79,67,0.79
RES008748,Rider,Bike,503.08,252.68,84,0.8
RES008749,Rider,Van,509.97,331.8,40,0.91
RES008750,Vehicle,Bike,690.45,310.11,85,0.92
RES008751,Vehicle,Van,636.17,299.99,78,0.94
RES008752,Rider,Bike,869.75,272.26,40,0.89
RES008753,Rider,Truck,381.93,285.53,75,0.98
RES008754,Rider,Van,732.23,244.99,64,0.71
RES008755,Vehicle,Van,915.82,89.42,67,0.78
RES008756,Rider,Bike,677.03,180.65,97,0.92
RES008757,Rider,Truck,554.49,341.25,30,0.79
RES008758,Vehicle,Truck,283.44,121.15,51,0.88
RES008759,Vehicle,Truck,713.85,288.48,84,0.76
RES008760,Vehicle,Truck,245.34,202.63,43,0.88
RES008761,Rider,Bike,76.17,337.41,37,0.92
RES008762,Rider,Bike,765.92,105.08,72,0.85
RES008763,Vehicle,Van,941.28,166.29,97,0.77
RES008764,Rider,Van,23.89,310.23,46,0.83
RES008765,Rider,Bike,763.46,149.84,30,0.95
RES008766,Rider,Bike,758.79,83.02,83,0.85
RES008767,Vehicle,Truck,574.62,142.54,73,0.72
RES008768,Vehicle,Van,355.17,118.57,40,0.73
RES008769,Rider,Truck,279.49,133.96,49,0.87
RES008770,Vehicle,Truck,210.28,133.03,59,0.7
RES008771,Vehicle,Bike,387.49,166.2,43,0.97
RES008772,Vehicle,Bike,420.61,116.41,49,0.95
RES008773,Rider,Bike,179.66,131.79,66,0.8
RES008774,Rider,Truck,687.39,230.34,98,0.96
RES008775,Vehicle,Truck,717.94,132.44,94,0.94
RES008776,Rider,Van,78.47,148.46,82,0.8
RES008777,Vehicle,Truck,909.65,261.25,34,0.89
RES008778,Vehicle,Truck,177.99,136.51,77,0.83
RES008779,Rider,Bike,448.59,338.61,92,0.97
RES008780,Rider,Bike,763.21,296.52,97,0.9
RES008781,Rider,Bike,25.89,179.12,60,0.83
RES008782,Vehicle,Van,120.41,104.34,80,0.84
RES008783,Rider,Van,739.4,85.59,53,0.96
RES008784,Vehicle,Bike,494.93,199.88,69,0.89
RES008785,Rider,Bike,57.51,205.02,60,0.88
RES008786,Vehicle,Van,137.53,252.45,90,0.78
RES008787,Vehicle,Van,301.1,144.85,60,0.8
RES008788,Vehicle,Truck,514.91,174.74,89,0.73
RES008789,Rider,Bike,692.39,289.91,96,0.77
RES008790,Vehicle,Van,999.15,151.84,98,0.82
RES008791,Vehicle,Bike,366.24,285.09,49,0.96
RES008792,Vehicle,Truck,351.79,74.19,38,0.77
RES008793,Vehicle,Van,567.4,195.28,63,0.92
RES008794,Vehicle,Truck,486.03,115.4,79,0.89
RES008795,Vehicle,Van,75.02,71.14,81,0.74
RES008796,Vehicle,Truck,279.59,209.56,37,0.79
RES008797,Vehicle,Truck,333.83,124.43,66,0.9
RES008798,Vehicle,Bike,634.62,241.26,44,0.72
RES008799,Rider,Truck,220.53,92.24,58,0.86
RES008800,Vehicle,Truck,700.78,167.45,33,0.71
RES008801,Vehicle,Truck,609.14,212.2,62,0.71
RES008802,Rider,Truck,523.65,77.47,89,0.84
RES008803,Vehicle,Bike,230.19,76.11,81,0.81
RES008804,Rider,Van,410.19,275.35,53,0.86
RES008805,Rider,Truck,9.88,174.86,78,0.71
RES008806,Rider,Truck,565.55,217.91,93,0.74
RES008807,Rider,Bike,448.34,117.1,64,0.71
RES008808,Rider,Bike,873.49,112.29,81,0.95
RES008809,Rider,Van,844.3,152.51,45,0.93
RES008810,Vehicle,Bike,905.57,336.77,39,0.93
RES008811,Rider,Truck,345.9,238.04,50,0.97
RES008812,Vehicle,Bike,583.18,264.92,52,0.73
RES008813,Rider,Van,309.74,66.76,78,0.95
RES008814,Rider,Van,758.58,86.24,31,0.81
RES008815,Rider,Truck,158.52,334.13,96,0.88
RES008816,Vehicle,Bike,711.88,175.85,35,0.85
RES008817,Rider,Truck,936.06,285.17,43,0.73
RES008818,Rider,Bike,313.33,251.76,89,0.71
RES008819,Rider,Van,982.45,285.76,53,0.71
RES008820,Vehicle,Bike,568.86,316.87,88,0.94
RES008821,Vehicle,Truck,868.55,174.78,66,0.91
RES008822,Rider,Bike,261.92,178.07,82,0.7
RES008823,Rider,Truck,804.83,145.25,44,0.95
RES008824,Vehicle,Van,80.41,260.18,36,0.8
RES008825,Vehicle,Van,459.16,325.25,89,0.89
RES008826,Rider,Truck,877.33,258.69,96,0.96
RES008827,Vehicle,Truck,764.78,334.77,30,0.79
RES008828,Vehicle,Van,256.18,129.22,94,0.89
RES008829,Rider,Bike,771.89,207.5,43,0.79
RES008830,Vehicle,Truck,315.54,148.9,82,0.83
RES008831,Rider,Bike,95.71,100.97,35,0.76
RES008832,Vehicle,Truck,214.83,110.5,83,0.77
RES008833,Vehicle,Van,288.21,64.33,76,0.78
RES008834,Vehicle,Truck,76.88,314.02,75,0.79
RES008835,Rider,Van,146.42,162.96,84,0.96
RES008836,Vehicle,Bike,727.39,325.51,59,0.94
RES008837,Rider,Truck,44.43,332.69,67,0.79
RES008838,Rider,Bike,203.38,86.83,59,0.88
RES008839,Rider,Truck,518.65,285.79,60,0.74
RES008840,Vehicle,Van,904.92,235.56,64,0.71
RES008841,Rider,Van,281.56,144.49,33,0.79
RES008842,Rider,Van,649.02,202.27,84,0.9
RES008843,Vehicle,Bike,461.36,253.33,51,0.88
RES008844,Vehicle,Truck,468.66,338.68,59,0.92
RES008845,Rider,Van,707.26,91.44,94,0.79
RES008846,Rider,Truck,201.94,251.39,88,0.85
RES008847,Rider,Van,44.07,258.98,77,0.97
RES008848,Rider,Van,368.48,101.42,37,0.74
RES008849,Vehicle,Van,778.79,212.9,91,0.72
RES008850,Rider,Truck,566.46,73.09,44,0.94
RES008851,Vehicle,Bike,84.14,253.03,80,0.94
RES008852,Vehicle,Bike,690.49,311.6,31,0.91
RES008853,Vehicle,Van,800.58,188.29,83,0.8
RES008854,Vehicle,Van,396.18,181.46,40,0.82
RES008855,Vehicle,Van,661.28,94.62,87,0.72
RES008856,Rider,Truck,950.18,228.32,81,0.87
RES008857,Rider,Van,477.79,346.84,82,0.76
RES008858,Vehicle,Bike,415.2,144.75,33,0.84
RES008859,Vehicle,Truck,23.29,240.95,37,0.78
RES008860,Vehicle,Truck,827.05,213.03,56,0.94
RES008861,Vehicle,Truck,490.77,216.39,78,0.81
RES008862,Vehicle,Bike,629.08,331.91,44,0.91
RES008863,Rider,Van,93.42,211.79,98,0.89
RES008864,Vehicle,Van,297.88,275.11,39,0.77
RES008865,Rider,Bike,627.96,249.57,50,0.77
RES008866,Rider,Bike,494.74,206.22,45,0.81
RES008867,Vehicle,Truck,91.24,65.64,30,0.87
RES008868,Rider,Bike,234.49,105.79,91,0.95
RES008869,Vehicle,Truck,386.43,348.08,45,0.77
RES008870,Rider,Bike,489.43,210.55,52,0.82
RES008871,Rider,Van,99.36,156.26,37,0.82
RES008872,Rider,Truck,376.62,101.06,92,0.73
RES008873,Rider,Truck,618.49,72.37,55,0.75
RES008874,Rider,Van,431.64,156.67,54,0.85
RES008875,Rider,Bike,136.77,111.72,48,0.9
RES008876,Vehicle,Van,638.42,209.59,36,0.88
RES008877,Rider,Bike,14.65,341.03,47,0.97
RES008878,Rider,Bike,483.84,221.44,94,0.71
RES008879,Rider,Truck,454.12,69.24,44,0.73
RES008880,Vehicle,Bike,962.2,223.35,88,0.95
RES008881,Vehicle,Truck,559.22,186.59,47,0.87
RES008882,Vehicle,Truck,842.0,242.51,30,0.86
RES008883,Vehicle,Van,419.4,271.74,74,0.91
RES008884,Vehicle,Van,486.7,63.22,66,0.92
RES008885,Vehicle,Bike,570.22,254.9,50,0.84
RES008886,Vehicle,Van,825.68,107.86,51,0.96
RES008887,Vehicle,Van,337.4,104.06,66,0.93
RES008888,Vehicle,Bike,90.16,279.36,69,0.81
RES008889,Vehicle,Van,868.45,346.22,67,0.85
RES008890,Vehicle,Bike,169.47,82.87,98,0.82
RES008891,Rider,Truck,291.25,250.97,67,0.84
RES008892,Rider,Bike,133.41,112.37,45,0.88
RES008893,Vehicle,Truck,928.7,148.88,67,0.71
RES008894,Vehicle,Truck,712.59,255.59,38,0.72
RES008895,Rider,Truck,731.87,260.37,94,0.79
RES008896,Vehicle,Bike,399.44,221.83,71,0.89
RES008897,Vehicle,Bike,884.93,94.75,40,0.73
RES008898,Vehicle,Truck,653.76,292.17,93,0.89
RES008899,Vehicle,Van,311.96,340.51,94,0.74
RES008900,Vehicle,Truck,192.51,255.75,74,0.92
RES008901,Vehicle,Bike,15.71,268.32,60,0.89
RES008902,Vehicle,Bike,263.62,259.43,63,0.97
RES008903,Vehicle,Bike,708.92,100.52,94,0.83
RES008904,Vehicle,Bike,641.44,126.02,31,0.73
RES008905,Vehicle,Bike,893.6,267.63,43,0.86
RES008906,Vehicle,Van,384.64,260.91,30,0.93
RES008907,Rider,Van,128.22,83.48,36,0.94
RES008908,Rider,Truck,304.06,296.24,67,0.88
RES008909,Rider,Bike,20.72,243.3,77,0.74
RES008910,Vehicle,Van,452.94,162.62,79,0.82
RES008911,Rider,Bike,295.8,220.8,91,0.96
RES008912,Rider,Van,948.46,238.72,31,0.72
RES008913,Vehicle,Van,999.53,87.63,72,0.96
RES008914,Vehicle,Van,268.88,81.48,80,0.82
RES008915,Rider,Bike,67.74,117.24,39,0.72
RES008916,Vehicle,Truck,55.75,286.17,81,0.92
RES008917,Vehicle,Truck,619.83,185.66,97,0.91
RES008918,Vehicle,Truck,68.85,241.33,49,0.95
RES008919,Rider,Bike,427.7,183.71,40,0.96
RES008920,Rider,Bike,333.83,317.5,82,0.94
RES008921,Vehicle,Van,79.3,126.85,47,0.86
RES008922,Rider,Bike,536.77,179.8,81,0.7
RES008923,Vehicle,Bike,661.57,71.18,89,0.81
RES008924,Rider,Bike,296.28,71.06,83,0.76
RES008925,Rider,Van,658.17,258.93,96,0.8
RES008926,Rider,Truck,35.91,230.4,43,0.78
